epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.8108303562778925,0.5948904147186127,8.454846,6.0483108
1,0.5672123576210596,0.5635782907683536,5.6092057,5.3211207
2,0.4812764925820215,0.4508691515580591,4.587087,4.2323904
3,0.3283443021750482,0.3095101412548962,3.0591269,2.7688506
4,0.29574919758877966,0.3630363374829767,2.8741376,3.1993022
5,0.23166847506788535,0.2754454216159197,2.25867,2.379338
6,0.1568065670017555,0.25593795624387217,1.5129255,2.093543
7,0.14435975757562686,0.24894568680292106,1.3340923,1.7946649
8,0.14351028769454371,0.22158326428250014,1.3311979,1.6716381
9,0.11030852074391356,0.19367463512724614,1.038347,1.4409618
10,0.10562427737781116,0.2651628367454407,0.9677862,1.9677314
11,0.10813909396033154,0.21245332210662354,0.95431465,1.5496211
12,0.11345934639678655,0.15710238002210974,1.0258918,1.0664572
13,0.0863351969918938,0.18567977329174362,0.78408843,1.1472373
14,0.08723837473044065,0.18188300443835467,0.76520026,1.0917431
15,0.07882065474788612,0.16355570652095444,0.6893671,1.0014422
16,0.08533157525799881,0.178784804277686,0.73634875,0.9890405
17,0.061984842849,0.21023621846480198,0.5790497,1.4066025
18,0.06759216851702383,0.19543423132592463,0.6141012,1.1287999
19,0.07971930379834219,0.2337740163404153,0.68331474,1.3662134
20,0.0687252514798457,0.18375009702021383,0.5832937,1.1403329
21,0.06114070058444369,0.2033831643393315,0.5558189,1.1883295
22,0.06394931745929978,0.174851971555991,0.58166254,0.98546726
23,0.05530704013239369,0.22085352265739822,0.50129765,1.1633233
24,0.05442947103392665,0.199273499834585,0.48906007,1.094926
25,0.06049674189340735,0.18506555045505918,0.5515032,1.0368261
26,0.05608446243282323,0.16680411121759756,0.50249666,0.8544395
27,0.05830016814559182,0.17104606312584592,0.5124179,0.9718795
28,0.053829507706327225,0.24579723226834102,0.49375343,1.2962388
29,0.058187602650865256,0.18664319023668052,0.5135519,1.1955059
30,0.05598495498339282,0.1732649725984292,0.5108932,0.9294152
31,0.05319136723419639,0.15409350798899435,0.47915122,0.8359513
32,0.05267458231487224,0.21253997586162918,0.4725334,1.1863511
33,0.05011948354333917,0.1799719382329766,0.46417692,0.98389703
34,0.05719121110522636,0.2155873201995257,0.51095754,1.243083
35,0.05318495790944119,0.16871749303967828,0.48591968,0.8706515
36,0.06258553391528351,0.1603112002292952,0.5303694,0.91825616
37,0.051785259347622306,0.215414510542653,0.47554973,1.1418992
38,0.049276095151544096,0.23794950847606736,0.4467708,1.167579
39,0.050833027700728645,0.17161052338630556,0.46567944,0.94620246
40,0.05128611550826366,0.15282083020742196,0.48346984,0.88355637
41,0.052546277572803904,0.16572328849855172,0.48349538,0.79907995
42,0.049343707379742405,0.15717914474912847,0.45234865,0.8381161
43,0.04966273577945845,0.21568517505647652,0.46194527,1.1348393
44,0.05142436303029683,0.17547028413806778,0.4632453,0.9338779
45,0.05563416579036357,0.286493207116526,0.47571537,1.5161889
46,0.0550655291754301,0.24148777887165784,0.47540048,1.4447749
47,0.053964904865396325,0.2060009447108227,0.48212954,1.0281518
48,0.05173452400891346,0.13218369848462214,0.4599682,0.6424259
49,0.054325086393265845,0.13876916218801325,0.47861806,0.7750932
