epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.7855630060645458,0.8111994819812091,8.110759,8.037272
1,0.5969585531878566,0.4887890493964769,5.929791,4.900368
2,0.41935259877603637,0.5988896866718612,4.1867566,5.724104
3,0.3140795182054751,0.4251588333650414,3.0806603,4.205683
4,0.2576941236873441,0.3858455987090609,2.5561392,3.4538448
5,0.2119981778882315,0.31494110193385544,2.0770047,2.7124786
6,0.2231983723002331,0.40740239240258813,2.2228122,3.854291
7,0.19383515307454072,0.2631582053771532,1.9166918,2.1846297
8,0.15686870361374475,0.2591858071634969,1.5026356,2.1272097
9,0.1522077742056269,0.24824337441607774,1.488817,2.0490284
10,0.12710319205463805,0.23850511459715337,1.2421409,1.803993
11,0.11154742336543041,0.2442609601286778,1.0598168,2.109429
12,0.11053788181786213,0.23947142533572072,1.0624117,1.7498242
13,0.10032360904543759,0.22993011778569317,0.96955526,1.5069337
14,0.09138669231323682,0.210881327609142,0.86842144,1.4605608
15,0.08988037733695954,0.20092615532685085,0.87156063,1.3481215
16,0.0802530563385604,0.19228396959513783,0.7479302,1.2762117
17,0.08114252928966847,0.20360078469690573,0.7854732,1.2965239
18,0.07437514808877171,0.20855327063347714,0.7055468,1.2294856
19,0.07006790447290664,0.181957777990288,0.66289365,1.1580681
20,0.06998502965594894,0.1999322193789767,0.6745546,1.1985978
21,0.07130347305385473,0.1873878518423711,0.6589275,1.1177512
22,0.06912891435797776,0.2398206671158156,0.64331686,1.5195794
23,0.06241992196333551,0.20780441734895289,0.5895117,1.1673063
24,0.06249582397933806,0.1666966421433179,0.5867172,0.95739675
25,0.06468982952888733,0.1972951192067439,0.60007924,1.0727383
26,0.06438782890531893,0.17240503353189188,0.5962473,0.96728927
27,0.057672447970164284,0.17790859771439754,0.544935,1.0217099
28,0.060966535212196776,0.22527843595026023,0.5633925,1.13812
29,0.05929586468896916,0.1993463571328091,0.5493943,1.1064358
30,0.0597699247945482,0.18510361128594296,0.56073743,1.0750114
31,0.058677004771765955,0.20925362283490093,0.54369134,1.2055279
32,0.05694697219903237,0.17345601723963522,0.5198654,0.91858196
33,0.05454022299433834,0.1650428787408122,0.51125336,0.87103623
34,0.05850223025254975,0.19514878432589222,0.5545243,1.0480309
35,0.05736285254121144,0.20711502230974782,0.53210735,1.2190437
36,0.06058103230579715,0.18797674727629857,0.54006773,1.1094369
37,0.056306863945230504,0.23420435510783558,0.5162245,1.4391487
38,0.06577580195966955,0.2199039202762315,0.58314043,1.2750821
39,0.05712495377155817,0.20344115502805823,0.53522146,1.1194309
40,0.06196896547821168,0.19830804267727523,0.5586087,1.1001637
41,0.05494921321121259,0.18378550027946078,0.512778,0.9675194
42,0.06482878437987498,0.2644781227487017,0.5758992,1.3074476
43,0.06108919280108695,0.1808458811258415,0.5406302,0.95675623
44,0.06095142249816585,0.1681425448551596,0.54400635,0.8169949
45,0.0612375026992888,0.16929992594092017,0.54636985,0.9453406
46,0.054608991044696256,0.17809859476241457,0.49848127,0.9491427
47,0.05548288102711882,0.17952130598375995,0.5141446,0.8893799
48,0.06533467080617712,0.1888261322243755,0.5697607,1.0555342
49,0.06393490544211532,0.1950082653072251,0.5594783,1.0750225
