epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.7708103614987766,0.7186903494303344,18.139378,17.956667
1,0.6370158853324646,0.7278346272321465,14.711211,15.944752
2,0.5449714484778975,0.5921172107029956,12.543152,13.706241
3,0.4887143040722708,0.5574806639938525,11.182844,11.961455
4,0.4362752043338608,0.5168878894893316,9.911779,11.328228
5,0.4050987004611494,0.5444824623635203,9.149447,12.380842
6,0.3594365170160218,0.5726732063577712,8.150658,13.002691
7,0.32953571237247736,0.5277941259826171,7.5362983,11.405837
8,0.3006674126846234,0.5558859117873202,6.830111,12.489302
9,0.26888209085780945,0.49852513813936944,6.201577,10.8852415
10,0.25888255737460786,0.5363589260510645,5.865491,11.430777
11,0.24801041103997634,0.5444865322237399,5.6407256,11.409195
12,0.22704642544019704,0.5192095125885194,5.1608543,11.226819
13,0.21823978908554464,0.5245314063240626,4.9694953,11.279144
14,0.20808747941185934,0.5125084184498794,4.7387066,11.264874
15,0.20427260895496038,0.5565721498338725,4.6082764,11.874355
16,0.18979713213316338,0.5633966693135558,4.3406734,11.573658
17,0.1870927141839048,0.5185800922254514,4.2630086,11.364672
18,0.17424630841345387,0.6089803443225059,3.9434695,13.267166
19,0.1693021756942492,0.5121986755848642,3.8884234,10.792621
20,0.16952162659897188,0.5560092256250395,3.8567708,11.466008
21,0.16597033873396727,0.5290569436532374,3.7569294,10.660588
22,0.15689423268791933,0.5108103928018789,3.5782814,10.748928
23,0.15522471631814852,0.5521070338929996,3.5063386,11.852299
24,0.1520803737352951,0.5254021955851116,3.4239993,11.127916
25,0.1457080849842915,0.5771575381787808,3.3003488,11.934947
26,0.14725851361842823,0.6082940981036327,3.3017359,12.347761
27,0.13900952937515287,0.5764675356236727,3.1508691,12.058085
28,0.13258907176080093,0.5832514191704251,3.0259256,12.028501
29,0.13419500833389744,0.5565422390505738,3.0226555,11.4941845
