epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.832329589559639,0.7838921384377913,20.013443,18.845879
1,0.6436984651040711,0.7190862532521858,15.009427,16.710878
2,0.537601934620435,0.6626877711888752,12.429654,15.803299
3,0.47498867095716846,0.5628610327062593,11.135474,13.370914
4,0.43164526828035266,0.549164292531646,10.031404,12.009906
5,0.3827153803725578,0.5538955207375584,8.914817,12.5134735
6,0.3512033237143888,0.5450158738343798,8.212803,12.499472
7,0.3250966437592484,0.4990482468896402,7.619323,11.425229
8,0.3081019087688798,0.5413407011820911,7.281918,12.517977
9,0.29075497069555584,0.5115204304234637,6.7700524,12.152786
10,0.2758729208206141,0.49362691148738036,6.43658,11.344141
11,0.2654142771235693,0.519491675047512,6.211514,12.219895
12,0.24678113701744753,0.5079050762287373,5.736606,11.213778
13,0.24113880200466647,0.5154603287111273,5.591421,11.902817
14,0.23703162518790372,0.5020074287398917,5.5168962,11.095908
15,0.22887258573518354,0.48682891958339025,5.371287,11.062405
16,0.22078847434355967,0.4771962486507285,5.131548,10.434006
17,0.21159608331361932,0.48180250212794445,4.928382,11.084187
18,0.20560836868664828,0.4453831580641017,4.7493296,9.990322
19,0.20881918563849886,0.4739653294026052,4.814735,10.683576
20,0.20850506603065902,0.4617672790002894,4.835126,10.466984
21,0.19837222947073965,0.5146108831538528,4.570612,11.358579
22,0.1951168906494601,0.5084640246034556,4.5140224,11.787912
23,0.19117246141132654,0.4777591088134379,4.418529,10.790922
24,0.19188134616697838,0.47056859975955523,4.424926,10.642087
25,0.18596474377412034,0.4715779622247784,4.275073,10.757888
26,0.18233451585019372,0.5062238001521405,4.209702,11.484522
27,0.17916735492993016,0.47234687622186855,4.129579,10.684097
28,0.18090272234234678,0.49493325533881094,4.1418915,11.084306
29,0.17698694246638452,0.5391003628956756,4.0377865,12.329788
