epoch,train_rmse_loss,val_rmse_loss,train_mae_unscaled,val_mae_unscaled
0,0.8937696490719538,0.714093294514128,9.293093,7.303671
1,0.6993965724416167,0.7690722358179283,7.089254,7.6886067
2,0.5439546424920327,0.6008038478068621,5.374507,6.1635385
3,0.4385303699382929,0.4434627106940129,4.443765,4.2647834
4,0.380276382128186,0.4813725148064207,3.785107,4.9209504
5,0.3538832171620446,0.2857955102901535,3.594175,2.5899107
6,0.3010724674210885,0.4495115379888223,3.0504754,4.405447
7,0.311837902042107,0.3805374101813571,3.0870135,3.7007916
8,0.2584294792259739,0.377551482493184,2.5235395,3.6799514
9,0.24191487454542626,0.2636920744441895,2.4483304,2.4007201
10,0.23610172929681253,0.2964936682427547,2.346676,2.707663
11,0.21199086506896903,0.30946950311679766,2.1239552,2.903613
12,0.20682994786218384,0.2339709468809257,2.0695004,2.09185
13,0.17457531719963337,0.21059608340738303,1.7265415,1.8663942
14,0.18320518900725877,0.2555392601812978,1.8325423,2.3577294
15,0.17946386785704033,0.265804389439731,1.7458206,2.3419275
16,0.16464700858380282,0.23004268091988278,1.6037763,2.0631635
17,0.1467242373647131,0.28160754546701194,1.4288697,2.4419444
18,0.15697107806345437,0.21750401203850825,1.5202957,1.7832204
19,0.1474060754920449,0.20894518838935638,1.4276003,1.63343
20,0.14040758164125816,0.24512420576882077,1.3317329,2.0577064
21,0.13008809368437363,0.27621650565192996,1.2816311,2.0674536
22,0.15013663506460254,0.1970831323192414,1.4215252,1.4787843
23,0.14186948329488067,0.19351617095479928,1.3487829,1.4314928
24,0.12497354869280611,0.19040533211601682,1.1798865,1.2937373
25,0.12016372989798671,0.18616492268573714,1.1351417,1.2657645
26,0.12623145023531984,0.21957890244119196,1.1723126,1.5857428
27,0.11775662340273393,0.21339705693294328,1.1378094,1.6486934
28,0.1198301862394524,0.1944294132559423,1.1216965,1.3688388
29,0.11955411688544937,0.16111135007850677,1.1205918,1.1203433
30,0.11624229463256311,0.2228722135977916,1.0841937,1.610705
31,0.11367170092030943,0.18524959849646366,1.0516365,1.2679716
32,0.1060622514941086,0.1846172479519331,1.0052936,1.2698016
33,0.10291909394703914,0.18951904702471548,0.987553,1.3576035
34,0.10511880054990556,0.19471821889459373,0.9786448,1.5836425
35,0.10000881470352928,0.2052672282158141,0.9368669,1.4284348
36,0.09951193342989834,0.20709515817136878,0.923985,1.438009
37,0.09731032033655519,0.18535129530021394,0.90324,1.1621792
38,0.10331950921034527,0.24141281451362062,0.94878274,1.7202079
39,0.10424467673235029,0.1915324414631285,0.9887818,1.3449281
40,0.09177553000923162,0.18346588331389713,0.8595642,1.1671596
41,0.09565487023834858,0.18116693798289357,0.8865111,1.2829791
42,0.0958040266752878,0.19603931642623537,0.8862189,1.338251
43,0.09147360026042725,0.16963852817318828,0.8374065,1.1745994
44,0.09223078962132712,0.17769057366002602,0.84197193,1.1795547
45,0.0906790979950628,0.18059382234436583,0.8388601,1.4434294
46,0.09051725999532781,0.20881030818380683,0.8186565,1.522805
47,0.08777475211218734,0.1766477769826988,0.8064517,1.0735393
48,0.08784929429802216,0.17328613367213672,0.8066881,1.1619436
49,0.08766957149207195,0.168829687325603,0.8144185,1.0471839
